CUSTOMERNAME,RECENCY_days,FREQUENCY_last_year,MONETARY_last_year,QUANTITYORDERED_last_year,COUNTRY,CITY,PHONE,CONTACTLASTNAME,CONTACTFIRSTNAME,Customer_ID,Motorcycles,Classic Cars,Trucks and Buses,Vintage Cars,Planes,Ships,Trains,KMeansLabel,CustomerType
"AV Stores, Co.",181,2.0,106789.89000000001,1208.0,UK,Manchester,(171) 555-1555,Ashworth,Victoria,1,0,628,0,773,0,257,120,0,GoodCustomer
Alpha Cognac,50,1.0,15139.119999999999,172.0,France,Toulouse,61.77.6555,Roulet,Annette,2,0,126,0,96,218,247,0,2,AverageCustomer
Amica Models & Co.,250,2.0,94117.26,843.0,Italy,Torino,011-4988555,Accorti,Paolo,3,0,149,24,566,0,82,22,0,GoodCustomer
"Anna's Decorations, Ltd",69,2.0,65012.420000000006,595.0,Australia,North Sydney,02 9936 8555,O'Hara,Anna,4,219,744,286,220,0,0,0,0,GoodCustomer
Atelier graphique,173,2.0,7619.66,114.0,France,Nantes,40.32.2555,Schmitt,Carine,5,71,156,0,43,0,0,0,2,AverageCustomer
"Australian Collectables, Ltd",319,1.0,12334.82,94.0,Australia,Glen Waverly,61-9-3844-6555,Connery,Sean,6,0,119,0,422,0,0,0,3,RiskLosingCustmer
"Australian Collectors, Co.",169,2.0,91222.0,838.0,Australia,Melbourne,03 9520 4555,Ferguson,Peter,7,490,451,166,400,419,0,0,0,GoodCustomer
"Australian Gift Network, Co",104,1.0,21730.03,209.0,Australia,South Brisbane,61-7-3844-6555,Calaghan,Tony,8,121,117,91,95,88,0,33,2,AverageCustomer
Auto Assoc. & Cie.,218,1.0,59074.899999999994,594.0,France,Versailles,30.59.8555,Tonini,Daniel,9,0,87,164,386,0,0,0,2,AverageCustomer
Auto Canal Petit,40,2.0,41998.01,471.0,France,Paris,(1) 47.55.6555,Perrier,Dominique,10,633,368,0,0,0,0,0,0,GoodCustomer
Auto-Moto Classics Inc.,165,2.0,19201.91,214.0,USA,Brickhaven,6175558428,Taylor,Leslie,11,0,0,0,104,120,63,0,2,AverageCustomer
Baane Mini Imports,193,2.0,60422.530000000006,519.0,Norway,Stavern,07-98 9555,Bergulfsen,Jonas,12,212,267,308,223,0,0,72,2,AverageCustomer
"Bavarian Collectables Imports, Co.",244,1.0,34993.92,401.0,Germany,Munich,+49 89 61 08 9555,Donnermeyer,Michael,13,0,0,0,101,245,55,0,2,AverageCustomer
"Blauer See Auto, Co.",193,1.0,9214.970000000001,80.0,Germany,Frankfurt,+49 69 66 90 2555,Keitel,Roland,14,0,466,81,175,0,0,89,2,AverageCustomer
Boards & Toys Co.,98,1.0,3987.2,35.0,USA,Glendale,3105552373,Young,Leslie,15,0,35,0,31,0,36,0,2,AverageCustomer
CAF Imports,424,0.0,0.0,0.0,Spain,Madrid,+34 913 728 555,Fernandez,Jesus,16,0,91,0,103,0,245,29,4,LostCustomer
Cambridge Collectables Co.,374,0.0,0.0,0.0,USA,Cambridge,6175555555,Tseng,Kyung,17,0,29,32,204,52,40,0,4,LostCustomer
Canadian Gift Exchange Network,207,1.0,36576.71000000001,348.0,Canada,Vancouver,(604) 555-3392,Tannamuri,Yoshi,18,0,175,351,177,0,0,0,2,AverageCustomer
"Classic Gift Ideas, Inc",215,1.0,27445.309999999998,277.0,USA,Philadelphia,2155554695,Cervantes,Francisca,19,0,96,132,277,98,65,0,2,AverageCustomer
Classic Legends Inc.,177,1.0,27733.04,285.0,USA,NYC,2125558493,Hernandez,Maria,20,0,219,73,233,0,174,21,2,AverageCustomer
"Clover Collections, Co.",243,1.0,18971.96,201.0,Ireland,Dublin,+353 1862 1555,Cassidy,Dean,21,58,202,37,28,115,0,50,2,AverageCustomer
Collectable Mini Designs Co.,446,0.0,0.0,0.0,USA,San Diego,7605558146,Thompson,Valarie,22,0,286,0,181,240,247,0,4,LostCustomer
Collectables For Less Inc.,117,2.0,46585.579999999994,454.0,USA,Brickhaven,6175558555,Nelson,Allen,23,0,382,0,276,113,24,0,2,AverageCustomer
Corporate Gift Ideas Co.,83,2.0,54203.619999999995,471.0,USA,San Francisco,6505551386,Brown,Julie,24,369,323,103,575,0,77,0,0,GoodCustomer
"Corrida Auto Replicas, Ltd",197,1.0,34546.600000000006,305.0,Spain,Madrid,(91) 555 22 82,Sommer,Mart¡n,25,0,232,358,573,0,0,0,2,AverageCustomer
Cruz & Sons Co.,182,1.0,15928.75,158.0,Philippines,Makati City,+63 2 555 3587,Cruz,Arnold,26,241,478,0,27,215,0,0,2,AverageCustomer
Daedalus Designs Imports,451,0.0,0.0,0.0,France,Lille,20.16.1555,Rance,Martine,27,627,72,0,0,0,0,0,4,LostCustomer
Danish Wholesale Imports,343,1.0,4749.45,63.0,Denmark,Kobenhavn,31 12 3555,Petersen,Jytte,28,0,400,0,220,0,230,38,3,RiskLosingCustmer
Diecast Classics Inc.,196,3.0,115971.34000000001,1035.0,USA,Allentown,2155551555,Yu,Kyung,29,291,242,289,44,81,0,88,0,GoodCustomer
Diecast Collectables,386,0.0,0.0,0.0,USA,Boston,6175552555,Franco,Valarie,30,0,259,311,80,0,0,45,4,LostCustomer
"Double Decker Gift Stores, Ltd",481,0.0,0.0,0.0,UK,London,(171) 555-7555,Hardy,Thomas,31,0,78,0,141,82,56,0,4,LostCustomer
"Dragon Souveniers, Ltd.",76,2.0,7303.4800000000005,72.0,Singapore,Singapore,+65 221 7555,Natividad,Eric,32,44,535,415,182,0,174,174,2,AverageCustomer
Enaco Distributors,174,1.0,30183.350000000002,343.0,Spain,Barcelona,(93) 203 4555,Saavedra,Eduardo,33,110,45,0,220,183,324,0,2,AverageCustomer
Euro Shopping Channel,14,11.0,396474.36000000004,4079.0,Spain,Madrid,(91) 555 94 44,Freyre,Diego,34,411,3720,929,1295,235,522,432,1,StarCustomer
FunGiftIdeas.com,75,2.0,87062.04000000001,805.0,USA,New Bedford,5085552555,Benitez,Violeta,35,157,490,0,131,96,29,0,0,GoodCustomer
Gift Depot Inc.,12,2.0,75778.99,640.0,USA,Bridgewater,2035552570,King,Julie,36,307,417,0,0,104,0,75,0,GoodCustomer
Gift Ideas Corp.,164,1.0,29343.35,346.0,USA,Glendale,2035554407,Lewis,Dan,37,93,29,0,109,413,22,0,2,AverageCustomer
Gifts4AllAges.com,249,2.0,34892.99,427.0,USA,Boston,6175559555,Yoshido,Juri,38,186,91,0,46,0,104,0,2,AverageCustomer
Handji Gifts& Co,24,3.0,91279.14000000003,996.0,Singapore,Singapore,+65 224 1555,Victorino,Wendy,39,0,508,473,255,0,0,0,0,GoodCustomer
Heintze Collectables,207,1.0,60273.939999999995,524.0,Denmark,Aaarhus,86 21 3555,Ibsen,Palle,40,0,670,73,20,0,23,96,2,AverageCustomer
Herkku Gifts,256,1.0,16363.1,150.0,Norway,Bergen,+47 2267 3215,Oeztan,Veysel,41,272,522,0,150,29,0,0,2,AverageCustomer
"Iberia Gift Imports, Corp.",223,1.0,3220.88,70.0,Spain,Sevilla,(95) 555 82 82,Roel,Jose Pedro,42,0,196,275,70,0,0,48,2,AverageCustomer
L'ordine Souveniers,7,2.0,97931.59000000001,955.0,Italy,Reggio Emilia,0522-556555,Moroni,Maurizio,43,77,737,23,63,320,0,60,0,GoodCustomer
"La Corne D'abondance, Co.",178,2.0,58986.270000000004,485.0,France,Paris,(1) 42.34.2555,Bertrand,Marie,44,38,431,267,48,0,0,52,2,AverageCustomer
La Rochelle Gifts,103,3.0,136340.21,1405.0,France,Nantes,40.67.8555,Labrune,Janine,45,454,45,0,219,503,184,0,0,GoodCustomer
Land of Toys Inc.,183,2.0,92928.01999999999,948.0,USA,NYC,2125557818,Yu,Kwai,46,491,423,153,0,44,0,66,0,GoodCustomer
Lyon Souveniers,61,2.0,52945.45999999999,457.0,France,Paris,+33 1 46 62 7555,Da Cunha,Daniel,47,253,135,46,205,0,0,45,0,GoodCustomer
